,Label,precision,recall,f1-score,support
Acoustic_guitar,0,0.48,0.87,0.62,30
 Applause,1,0.68,0.77,0.72,30
 Bark,2,0.54,0.62,0.58,24
 Bass_drum,3,0.91,0.57,0.7,37
 Burping_or_eructation,4,0.6,0.45,0.51,20
 Bus,5,0.45,0.33,0.38,15
 Cello,6,0.5,0.62,0.56,16
 Chime,7,0.3,0.33,0.32,9
 Clarinet,8,0.88,0.74,0.81,31
 Computer_keyboard,9,0.61,0.78,0.68,18
 Cough,10,0.74,0.65,0.69,26
 Cowbell,11,0.85,0.81,0.83,27
 Double_bass,12,0.85,0.76,0.8,37
 Drawer_open_or_close,13,0.32,0.59,0.42,17
 Electric_piano,14,0.67,0.53,0.59,15
 Fart,15,0.57,0.39,0.46,33
 Finger_snapping,16,0.5,0.2,0.29,10
 Fireworks,17,0.5,0.56,0.53,25
 Flute,18,0.69,0.41,0.51,27
 Glockenspiel,19,0.62,1,0.77,5
 Gong,20,0.9,0.59,0.72,32
 Gunshot_or_gunfire,21,0.27,0.23,0.25,13
 Harmonica,22,0.46,0.72,0.57,18
 Hi-hat,23,0.42,0.58,0.49,36
 Keys_jangling,24,0,0,0,16
 Knock,25,0.76,0.5,0.6,26
 Laughter,26,0.61,0.61,0.61,33
 Meow,27,0.62,0.42,0.5,12
 Microwave_oven,28,0.56,0.25,0.34,20
 Oboe,29,0.92,0.92,0.92,25
 Saxophone,30,0.6,0.58,0.59,26
 Scissors,31,0.33,0.3,0.32,10
 Shatter,32,0.71,0.59,0.64,29
 Snare_drum,33,0.33,0.67,0.44,21
 Squeak,34,0.19,0.15,0.17,20
 Tambourine,35,0.67,0.41,0.51,29
 Tearing,36,0.31,0.62,0.41,32
 Telephone,37,0.67,0.27,0.38,15
 Trumpet,38,0.47,0.66,0.55,29
 Violin_or_fiddle,39,0.58,0.7,0.63,27
 Writing,40,0.53,0.33,0.41,27
